datetime,PM2.5,PM10,O3,CO,NO2
2021-12-19 00:00:00,31,68,28.0,0.88,30.0
2021-12-19 01:00:00,30,75,28.0,0.88,22.0
2021-12-19 02:00:00,30,76,24.0,0.88,21.0
2021-12-19 03:00:00,32,66,24.0,0.86,19.0
2021-12-19 04:00:00,27,56,21.0,0.88,18.0
2021-12-19 05:00:00,23,54,19.0,1.0,19.0
2021-12-19 06:00:00,27,53,14.0,1.1,22.0
2021-12-19 07:00:00,21,52,11.0,1.24,23.0
2021-12-19 08:00:00,22,58,13.0,1.11,24.0
2021-12-19 09:00:00,24,54,16.0,1.1,26.0
2021-12-19 10:00:00,26,59,18.0,1.14,27.0
2021-12-19 11:00:00,30,63,24.0,1.08,29.0
2021-12-19 12:00:00,30,60,28.0,1.15,32.0
2021-12-19 13:00:00,34,58,20.0,1.52,38.0
2021-12-19 14:00:00,36,61,22.0,1.37,47.0
2021-12-19 15:00:00,31,71,19.0,1.48,51.0
2021-12-19 16:00:00,30,67,22.0,1.34,54.0
2021-12-19 17:00:00,29,64,21.0,1.33,56.0
2021-12-19 18:00:00,25,68,12.0,1.72,48.0
2021-12-19 19:00:00,27,68,7.0,2.04,42.0
2021-12-19 20:00:00,33,69,6.0,1.77,39.0
2021-12-19 21:00:00,37,74,5.0,1.77,37.0
2021-12-19 22:00:00,35,79,4.0,1.77,39.0
2021-12-19 23:00:00,32,83,5.0,1.77,39.0
2021-12-20 00:00:00,35,87,5.0,1.16,34.0
2021-12-20 01:00:00,40,86,6.0,1.08,33.0
2021-12-20 02:00:00,48,84,5.0,1.06,29.0
2021-12-20 03:00:00,49,83,7.0,1.08,27.0
2021-12-20 04:00:00,49,90,6.0,1.24,26.0
2021-12-20 05:00:00,46,88,6.0,1.3,29.0
2021-12-20 06:00:00,47,89,4.0,1.68,32.0
2021-12-20 07:00:00,45,89,7.0,1.9,34.0
2021-12-20 08:00:00,39,92,9.0,1.71,36.0
2021-12-20 09:00:00,42,89,9.0,1.81,37.0
2021-12-20 10:00:00,42,89,16.0,1.62,36.0
2021-12-20 11:00:00,47,90,21.0,1.38,56.0
2021-12-20 12:00:00,46,85,28.0,1.24,76.0
2021-12-20 13:00:00,42,77,29.0,1.35,74.0
2021-12-20 14:00:00,43,79,38.0,1.26,68.0
2021-12-20 15:00:00,39,84,37.0,1.16,66.0
2021-12-20 16:00:00,35,87,26.0,1.48,67.0
2021-12-20 17:00:00,39,88,15.0,1.83,64.0
2021-12-20 18:00:00,45,92,10.0,1.97,58.0
2021-12-20 19:00:00,53,91,10.0,2.0,53.0
2021-12-20 20:00:00,54,95,7.0,1.89,52.0
